EAR,MAR,TIME
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
0.2821750865409127,0.33874258867227935,11:44:50.805082
0.2822928230850274,0.33333333333333337,11:44:50.893707
0.29595161566624806,0.37487370837451073,11:44:50.987827
0.3124404640377992,0.408207041707844,11:44:51.068022
